TH 151,I,THE CATHOLIC COMMITMENT OF TODAY'S FILIPINO: A SYNTHESIS,3,T-TH 1400-1530,G-304,"DY, S.J., FR. OLIVER G.",32,ENG,U,32,-,N,N
TH 151,J,THE CATHOLIC COMMITMENT OF TODAY'S FILIPINO: A SYNTHESIS,3,M-W-F 0900-1000,B-103,"JIMENEZ, EDILBERTO ISIDORE C.",32,ENG,U,32,-,N,N
TH 151,K,THE CATHOLIC COMMITMENT OF TODAY'S FILIPINO: A SYNTHESIS,3,M-W-F 1000-1100,B-103,"JIMENEZ, EDILBERTO ISIDORE C.",32,ENG,U,32,-,N,N
TH 151,L,THE CATHOLIC COMMITMENT OF TODAY'S FILIPINO: A SYNTHESIS,3,M-W-F 1100-1200,B-103,"JIMENEZ, EDILBERTO ISIDORE C.",32,ENG,U,32,-,N,N
TH 151,M,THE CATHOLIC COMMITMENT OF TODAY'S FILIPINO: A SYNTHESIS,3,T-TH 1100-1230,K-302,"JIMENEZ, EDILBERTO ISIDORE C.",32,ENG,U,32,-,N,N
TH 151,O,THE CATHOLIC COMMITMENT OF TODAY'S FILIPINO: A SYNTHESIS,3,M-W-F 1400-1500,CTC 306,"JULIAN, LUIS CARMELO M.",32,ENG,U,32,-,N,N
TH 151,P,THE CATHOLIC COMMITMENT OF TODAY'S FILIPINO: A SYNTHESIS,3,M-W-F 1300-1400,SEC-A214A,"JULIAN, LUIS CARMELO M.",32,ENG,U,32,-,N,N
TH 151,Q,THE CATHOLIC COMMITMENT OF TODAY'S FILIPINO: A SYNTHESIS,3,M-W-F 1600-1700,CTC 304,"JULIAN, LUIS CARMELO M.",32,ENG,U,32,-,N,N
TH 151,R,THE CATHOLIC COMMITMENT OF TODAY'S FILIPINO: A SYNTHESIS,3,T-TH 1400-1530,CTC 206,"JULIAN, LUIS CARMELO M.",32,ENG,U,32,-,N,N
TH 151,S,THE CATHOLIC COMMITMENT OF TODAY'S FILIPINO: A SYNTHESIS,3,T-TH 1530-1700,SEC-A203A,"JULIAN, LUIS CARMELO M.",32,ENG,U,32,-,N,N
TH 151,T,THE CATHOLIC COMMITMENT OF TODAY'S FILIPINO: A SYNTHESIS,3,M-W-F 0900-1000,SEC-A210A,"LIBERATORE, MICHAEL J.",22,ENG,U,22,ALL SLOTS FOR 4TH YEAR STUDENTS. *SLASH COURSE: DLQ 10,N,N
TH 151,U,THE CATHOLIC COMMITMENT OF TODAY'S FILIPINO: A SYNTHESIS,3,M-W-F 1000-1100,SEC-A215A,"TBA, -",32,ENG,U,32,ALL SLOTS FOR 4TH YEAR STUDENTS.*SLASH COURSE: DLQ 10,N,N
TH 151,V,THE CATHOLIC COMMITMENT OF TODAY'S FILIPINO: A SYNTHESIS,3,M-W-F 1200-1300,CTC 406,"RONCAL, RAOUL R.",32,ENG,U,30,-,N,N
TH 151,W,THE CATHOLIC COMMITMENT OF TODAY'S FILIPINO: A SYNTHESIS,3,T-TH 1700-1830,CTC 103,"CALASANZ, EDUARDO JOSE E.",32,ENG,U,32,ALL SLOTS FOR 4TH YEAR STUDENTS. *SLASH WITH DLQ 10,N,N
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PH 103,A,PHILOSOPHY OF RELIGION,3,M-W-F 1400-1500,BEL-213,"STA. MARIA, JOSEPH EMMANUEL D.",30,ENG,U,30,-,N,N
PH 103,B,PHILOSOPHY OF RELIGION,3,M-W-F 1500-1600,BEL-213,"STA. MARIA, JOSEPH EMMANUEL D.",30,ENG,U,30,-,N,N
PH 103,C,PHILOSOPHY OF RELIGION,3,M-W-F 0900-1000,BEL-312,"MIROY, JOVINO G.",30,ENG,U,30,-,N,N
PH 103,D,PHILOSOPHY OF RELIGION,3,M-W-F 1000-1100,BEL-312,"MIROY, JOVINO G.",30,ENG,U,30,-,N,N
PH 103,E,PHILOSOPHY OF RELIGION,3,M-W-F 1600-1700,BEL-213,"STA. MARIA, JOSEPH EMMANUEL D.",30,ENG,U,30,-,N,N
PH 103,F,PHILOSOPHY OF RELIGION,3,M-W-F 1000-1100,SOM 205,"CALANO, MARK JOSEPH T.",30,ENG,U,27,-,N,N
PH 103,G,PHILOSOPHY OF RELIGION,3,M-W-F 0800-0900,SEC-A123A,"HEIN, MARTIN P.",30,ENG,U,30,-,N,N
PH 103,I,PHILOSOPHY OF RELIGION,3,M-W-F 0900-1000,SEC-A123A,"HEIN, MARTIN P.",30,ENG,U,30,-,N,N
PH 103,M,PHILOSOPHY OF RELIGION,3,M-W-F 1400-1500,G-303,"PRINCIPE, JESUS DEOGRACIAS Z.",30,ENG,U,30,-,N,N
PH 103,N,PHILOSOPHY OF RELIGION,3,M-W-F 1500-1600,B-305,"PRINCIPE, JESUS DEOGRACIAS Z.",30,ENG,U,30,-,N,N
PH 103,O,PHILOSOPHY OF RELIGION,3,T-TH 0800-0930,SEC-B201A,"CALASANZ, EDUARDO JOSE E.",80,FIL,U,80,-,N,N
PH 103,P,PHILOSOPHY OF RELIGION,3,M-W-F 1200-1300,G-304,"HEIN, MARTIN P.",30,ENG,U,30,-,N,N
PH 103,Q,PHILOSOPHY OF RELIGION,3,M-W-F 1400-1500,SOM 302,"HEIN, MARTIN P.",30,ENG,U,30,-,N,N
PH 103,R,PHILOSOPHY OF RELIGION,3,M-W-F 1100-1200,SOM 205,"CALANO, MARK JOSEPH T.",30,ENG,U,27,-,N,N
PH 103,V,PHILOSOPHY OF RELIGION,3,T-TH 1830-2000,B-104,"SUAREZ, VENUSTO F.",30,FIL,U,30,-,N,N
PH 103,Y,PHILOSOPHY OF RELIGION,3,M-W-F 1300-1400,SOM 204,"MIROY, JOVINO G.",30,FIL,U,25,-,N,N
PH 103,Z,PHILOSOPHY OF RELIGION,3,M-W-F 1200-1300,SOM 204,"MIROY, JOVINO G.",30,FIL,U,30,-,N,N
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
HI 166,C,PHILIPPINE HISTORY,3,T-TH 1230-1400,CTC 105,"YOUNG, STEWART A.",45,ENG,U,45,-,N,N
HI 166,F,PHILIPPINE HISTORY,3,T-TH 1230-1400,B-106,"ESTELLA, JANET R.",35,ENG,U,35,-,N,N
HI 166,J,PHILIPPINE HISTORY,3,T-TH 0930-1100,B-307,"YOUNG, STEWART A.",45,ENG,U,45,-,N,N
HI 166,L,PHILIPPINE HISTORY,3,M-W-F 1300-1400,CTC 301,"ESTELLA, JANET R.",35,ENG,U,35,-,N,N
HI 166,N,PHILIPPINE HISTORY,3,M-W-F 0900-1000,F-304,"GENER, VIRGILIO ANGELO G.",45,ENG,U,43,-,N,N
HI 166,O,PHILIPPINE HISTORY,3,T-TH 1400-1530,CTC 105,"YOUNG, STEWART A.",45,ENG,U,45,-,N,N
HI 166,P,PHILIPPINE HISTORY,3,M-W-F 0900-1000,BEL-311,"MENDOZA, MEYNARDO P.",45,ENG,U,45,-,N,N
HI 166,Q,PHILIPPINE HISTORY,3,M-W-F 1000-1100,BEL-311,"MENDOZA, MEYNARDO P.",45,ENG,U,44,-,N,N
HI 166,R,PHILIPPINE HISTORY,3,M-W-F 1200-1300,BEL-213,"MENDOZA, MEYNARDO P.",45,ENG,U,45,-,N,N
HI 166,T,PHILIPPINE HISTORY,3,M-W-F 1000-1100,B-104,"GENER, VIRGILIO ANGELO G.",45,ENG,U,45,-,N,N
HI 166,V,PHILIPPINE HISTORY,3,M-W-F 1200-1300,K-202,"GENER, VIRGILIO ANGELO G.",45,ENG,U,44,-,N,N
HI 166,Y,PHILIPPINE HISTORY,3,M-W-F 1600-1700,CTC 203,"ALFARO, MA. RITA LOURDES A.",35,FIL,U,35,-,N,N
HI 166,Z,PHILIPPINE HISTORY,3,T-TH 1530-1700,B-307,"BUNAG, MA. CRISELDA DANA P.",45,ENG,U,43,-,N,N
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
POS 100,A,POLITICS AND GOVERNANCE,3,T-TH 0800-0930,CTC 118,"BERSE, PILAR PRECIOUSA P.",38,ENG,U,38,-,N,N
POS 100,B,POLITICS AND GOVERNANCE,3,T-TH 0800-0930,CTC 205,"ORETA, JENNIFER S.",50,ENG,U,50,-,N,N
POS 100,C,POLITICS AND GOVERNANCE,3,SAT 0900-1200,CTC 206,"SUNGA, RICARDO III A.",25,ENG,U,25,-,N,N
POS 100,D,POLITICS AND GOVERNANCE,3,T-TH 1400-1530,K-204,"AGUIRRE, ARJAN P.",35,ENG,U,35,-,N,N
POS 100,E,POLITICS AND GOVERNANCE,3,T-TH 1100-1230,B-309,"BERSE, PILAR PRECIOUSA P.",35,ENG,U,35,-,N,N
POS 100,F,POLITICS AND GOVERNANCE,3,T-TH 1530-1700,BEL-207,"BARRETTO, BENJAMIN ROBERTO G.",29,ENG,U,8,-,N,N
POS 100,G,POLITICS AND GOVERNANCE,3,T-TH 1100-1230,K-203,"ORETA, JENNIFER S.",50,ENG,U,50,-,N,N
POS 100,H,POLITICS AND GOVERNANCE,3,M-W-F 0900-1000,CTC 407,"JULIANO, HANSLEY A.",35,ENG,U,35,-,N,N
POS 100,I,POLITICS AND GOVERNANCE,3,M-W-F 1100-1200,CTC 405,"TIONLOC, JAVIER RICO ISRAEL R.",35,ENG,U,35,-,N,N
POS 100,K,POLITICS AND GOVERNANCE,3,M-W-F 1300-1400,CTC 405,"RIVERA, MIGUEL PAOLO P.",29,ENG,U,13,-,N,N
POS 100,L,POLITICS AND GOVERNANCE,3,W 1700-2000,CTC 302,"LIM, MILLARD O.",25,ENG,U,25,-,N,N
POS 100,M,POLITICS AND GOVERNANCE,3,T 1730-2030,B-305,"SUNGA, RICARDO III A.",35,ENG,U,35,-,N,N
POS 100,O,POLITICS AND GOVERNANCE,3,SAT 1300-1600,B-204/B-205,"SUNGA, RICARDO III A.",35,ENG,U,35,-,N,N
POS 100,P,POLITICS AND GOVERNANCE,3,M-W-F 1500-1600,SEC-A210A,"RIVERA, MIGUEL PAOLO P.",29,ENG,U,-7,-,N,N
POS 100,T,POLITICS AND GOVERNANCE,3,T-TH 1700-1830,B-104,"BARRETTO, BENJAMIN ROBERTO G.",45,ENG,U,44,-,N,N
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ITM 101,X,ADVANCED INFORMATION TECHNOLOGY APPLICATION PROGRAMMING,3,SAT 0900-1200,SOM 302,"AQUINO, RAFAEL ALFONSO H.",,,,,,,
ITM 122,X,GAMING AND MANAGEMENT GAMES,3,T 1400-1700,CTC 114,"REVENTAR III, VICENTE P.",,,,,,,
,,,,,,,,,,,,,
IS 163.3,A,"CONTEMPORARY ISSUES: CULTURAL STUDIES OF TECHNOLOGY (HYPERMEDIA, THE WORLD WIDE WEB, AND THE CONTEMPORARY CRITICAL THEORY AND TECHNOLOGY)",3,M 1400-1700,G-312A,"LORENZANA, GEORGE PETER A.",15,ENG,U,15,-,N,N
IS 165.1,A,DESIGN AND INNOVATION: INTRODUCTION TO THE DEVELOPMENT OF CREATIVE PROJECTS,3,T 1700-2000,CTC 306,"PALILEO, AARON A.",15,ENG,U,15,-,N,N
IS 165.2,A,DESIGN AND INNOVATION: INTERDISCIPLINARY APPROACHES TO CREATIVITY AND INNOVATION,3,W 1700-2000,INNOVATION 201,"INDIAS, JOI MARIE ANGELICA M., VILLANUEVA, MARTIN V.",15,,,,,,
,,,,,,,,,,,,,
IS 161.2,A,SPECIAL TOPICS IN PHILIPPINE STUDIES: INTERPLAY - PSYCHOLOGY OF INTERPERSONAL COMMUNICATION,3,W 1700-2000,FA ANNEX 101,"ALFONSO, ALPHONSUS LUIGI E.",15,,,,,,
,,,,,,,,,,,,,
ITMGT 20.51,A,BASIC INFORMATION TECHNOLOGY APPLICATIONS IN BUSINESS BYOD: EXCEL + DATA VISUALIZATION,3,T-TH 1700-1830,CTC 201C,"CALUAG, JOSE ANTONIO I.",25,,,,,,
ITMGT 45,A,THE DIGITAL ECONOMY,3,T-TH 0930-1100,SOM 202,"ILAGAN, JOSEPH BENJAMIN R.",,,,,,,
,,,,,,,,,,,,,
CS 195.O6,A,APPLIED DIGITAL LAW AND ETHICS,3,W 1700-2000,F-227,"IMBONG, JO AUREA M.",3,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
IS 161.2,A,SPECIAL TOPICS IN PHILIPPINE STUDIES: INTERPLAY - PSYCHOLOGY OF INTERPERSONAL COMMUNICATION,3,W 1700-2000,FA ANNEX 101,"ALFONSO, ALPHONSUS LUIGI E.",,,,,,,
,,,,,,,,,,,,,
IS 165.2,A,DESIGN AND INNOVATION: INTERDISCIPLINARY APPROACHES TO CREATIVITY AND INNOVATION,3,W 1700-2000,INNOVATION 201,"INDIAS, JOI MARIE ANGELICA M., VILLANUEVA, MARTIN V.",15,,,,,,
IS 165.1,A,DESIGN AND INNOVATION: INTRODUCTION TO THE DEVELOPMENT OF CREATIVE PROJECTS,3,T 1700-2000,CTC 306,"PALILEO, AARON A.",15,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ITMGT 45,A,THE DIGITAL ECONOMY,3,T-TH 0930-1100,SOM 202,"ILAGAN, JOSEPH BENJAMIN R.",,,,,,,
ITM 122,X,GAMING AND MANAGEMENT GAMES,3,T 1400-1700,CTC 114,"REVENTAR III, VICENTE P.",,,,,,,
,,,,,,,,,,,,,
ITM 12,X,DECISION SUPPORT WITH SPREADSHEETS,3,W 1800-2100,SOM 103,"GONZALES, JOAQUIN EMMANUEL J.",,,,,,,
,,,,,,,,,,,,,
ITM 101,X,ADVANCED INFORMATION TECHNOLOGY APPLICATION PROGRAMMING,3,SAT 0900-1200,SOM 302,"AQUINO, RAFAEL ALFONSO H.",,,,,,,
ITM 103,X,DATA MANAGEMENT,3,T 1800-2100,CTC 114,"DEOCARIS, ROMMEL H.",,,,,,,
,,,,,,,,,,,,,
CHN 25,A,FOOD AND CHINESE CULTURE,3,M-W-F 1200-1300,G-312A,"NAVARRO, FRANCISCO V.",,,,,,,
,,,,,,,,,,,,,
CHN 50,A,TRADITIONAL CHINESE MEDICINE,3,M-W-F 1600-1700,B-207,"NAVARRO, FRANCISCO V.",30,ENG,U,30,-,N,N
CHN 50,B,TRADITIONAL CHINESE MEDICINE,3,M-W-F 0800-0900,F-115,"MANABAT, MARJORIE Y.",30,ENG,U,30,-,N,N
CHN 52,A,SCIENCE AND TECHNOLOGY IN CHINA,3,T-TH 1400-1530,B-208,"LIM, AURORA R.",20,ENG,U,20,-,N,N
,,,,,,,,,,,,,
ECE 12,A,COMPUTER-AIDED DESIGN,1,W 1000-1200,CTC 219,"GALICIA, JAN KEVIN A.",,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
CIE 199,A,EMERGING TECHNOLOGIES,3,T-TH 1400-1530,CTC 403,"LAGAZO, DANIEL JEFFREY M.",,,,,,,
,,,,,,,,,,,,,
ECE 161,A,ENGINEERING MANAGEMENT,2,T-TH 1530-1700,CTC 303,"GALICIA, JAN KEVIN A.",10,ENG,U,10,-,N,N
ECE 162,A,"ENGINEERING LAWS, CONTRACTS AND ETHICS",2,M 1000-1200,CTC 403,"GUICO, MARIA LEONORA C.",18,ENG,U,18,-,N,N
ECE 162,B,"ENGINEERING LAWS, CONTRACTS AND ETHICS",2,W 1000-1200,CTC 403,"GUICO, MARIA LEONORA C.",18,ENG,U,18,-,N,N
